"id_order","brand_accesories"
302717,"LaCie - accessories"
302717,"Apple - accessories"
302722,"Seagate - accessories"
302728,"Elgato - accessories"
302737,"OWC - accessories"
302740,"Pack - accessories"
302741,"FCM - accessories"
302747,"Crucial - accessories"
302759,"Wacom - tablet"
302765,"Belkin - accessories"
302765,"Wowewa - accessories"
302767,"Samsung - accessories"
302768,"SanDisk - accessories"
302774,"Satechi - accessories"
302774,"Satechi - accessories"
302774,"Belkin - accessories"
302775,"LaCie - accessories"
302777,"Sphero - other"
302788,"Macally - accessories"
302795,"TP-Link - accessories"
302813,"LaCie - accessories"
302817,"Netatmo - other"
302824,"Sphero - other"
302826,"FCM - accessories"
302841,"Apple - laptop"
302850,"Bose - accessories"
302857,"Pack - accessories"
302872,"Muvit - accessories"
302876,"Satechi - accessories"
302879,"Crucial - accessories"
302908,"Jawbone - display"
302913,"Jawbone - display"
302916,"Jawbone - display"
302921,"Jawbone - display"
302922,"Kingston - accessories"
302922,"Apple - accessories"
302928,"Pack - accessories"
302930,"Booq - accessories"
302933,"Jawbone - display"
302935,"Jawbone - display"
302937,"Jawbone - display"
302941,"Jawbone - display"
302943,"Jawbone - display"
302955,"Jawbone - display"
302969,"Jawbone - display"
302975,"Jawbone - display"
302977,"Jawbone - display"
302983,"Jawbone - display"
302985,"Jawbone - display"
302987,"Jawbone - display"
302990,"iFixit - accessories"
303004,"Jawbone - display"
303005,"Jawbone - display"
303008,"Jawbone - display"
303015,"Kenu Airframe - accessories"
303015,"TP-Link - accessories"
303020,"Wacom - accessories"
303023,"Jawbone - display"
303025,"Jawbone - display"
303026,"Jawbone - display"
303033,"Jawbone - display"
303034,"Jawbone - display"
303037,"Philips - accessories"
303037,"Philips - accessories"
303038,"TP-Link - accessories"
303051,"Jawbone - display"
303056,"Plantronics - accessories"
303061,"OWC - accessories"
303063,"Jawbone - display"
303070,"Wacom - accessories"
303071,"Jawbone - display"
303077,"NewerTech - accessories"
303084,"NewerTech - accessories"
303085,"Seagate - accessories"
303090,"SanDisk - accessories"
303091,"Apple - accessories"
303096,"Apple - accessories"
303100,"Jawbone - display"
303106,"Jawbone - display"
303108,"Jawbone - display"
303110,"Jawbone - display"
303111,"Jawbone - display"
303116,"OWC - accessories"
303117,"Jawbone - display"
303118,"QNAP - accessories"
303120,"Jawbone - display"
303120,"Elgato - accessories"
303121,"Jawbone - display"
303128,"Jawbone - display"
303130,"OWC - accessories"
303131,"Jawbone - display"
303132,"Jawbone - display"
303140,"Western Digital - accessories"
303147,"Jawbone - display"
303150,"Jawbone - display"
303174,"TrackR - accessories"
303178,"Apple - accessories"
303183,"FCM - accessories"
303198,"Belkin - accessories"
303198,"Belkin - accessories"
303203,"Apple - accessories"
303205,"Apple - accessories"
303205,"Apple - accessories"
303208,"Kanex - accessories"
303217,"Jawbone - display"
303230,"Samsung - accessories"
303230,"FCM - accessories"
303232,"Jawbone - display"
303232,"SanDisk - accessories"
303233,"Jawbone - display"
303238,"Jawbone - display"
303250,"iFixit - accessories"
303256,"Jawbone - display"
303259,"NewerTech - accessories"
303260,"Apple - extended warranty"
303264,"OWC - accessories"
303264,"FCM - accessories"
303264,"Western Digital - accessories"
303269,"Jawbone - display"
303271,"Jawbone - display"
303275,"Apple - accessories"
303279,"Hyper Pearl - accessories"
303283,"Jawbone - display"
